id,financescore,country,classsize,city,rating,totalscore,numericalstaff,staffstudentratio,approvals,academicscore,summary,techscore,citySafety,confidence,housingprovision,techecosystem,curriculum,staffcount,schoolname,worklifescore,noncontacttime,healthcoverage,image,Profit Status,salaryRange,Ownership,inspect,validated,profit status,ownership,citysafety,lastSync,scrapedJobsCount,scrapedJobsList,revalidationError,revalidationStatus,isRevalidating,revalidationCompletedAt,cachedStability,lastScrapedAt,website,agency,careersPageUrl,name,tesOrganizationId,tesEmployerSlug,updatedAt
"FLIS0001","9.0","Hong Kong","18-20","Hong Kong","Good","9.1","180","1:8","IB, ZfA, BIS","9.8","Premium Peak leader.","9.2","9.1","9.8","Subsidised","1:1 iPad/Laptop","German/British","180","German Swiss Int'l","8.2","20%","Premium","","Profit Status","$4,150.00","Ownership","Inspect / Accreditation","LFI","Profit Status","Ownership","9.1","2026-05-26T10:41:07.830Z","0","[]","","success","true","{""_seconds"":1788076578,""_nanoseconds"":94000000}","","2026-08-30T07:56:18.092Z","https://www.gsis.edu.hk/en/about-us/careers/job-openings","Search Associates, Schrole, LinkedIn","https://www.gsis.edu.hk/en/about-us/careers/job-openings","German Swiss Int'l","1057613","german-swiss-international-school-1057613","2026-08-30T16:14:23.674Z"
"FLIS0002","8.5","Hong Kong","22-26","Hong Kong","Good","8.7","150","1:12","IB","9.9","Elite academic powerhouse.","8.8","9.1","9.6","Subsidised","Microsoft/Canvas","HKDSE/IB","150","St. Paul's Co-ed","7.4","15%","Full Private","","Non-Profit","$3,720.00","Community / Association","BSO / ZffA","LFI","Non-Profit","Community / Association","9.1","2026-05-26T10:41:07.831Z","0","[]","","success","true","{""_seconds"":1788076692,""_nanoseconds"":823000000}","","2026-08-30T07:58:12.821Z","https://www.spcc.edu.hk/jobs-and-tenders","Direct HK Gov Portal, LinkedIn, JobsDB Hong Kong","https://www.spcc.edu.hk/jobs-and-tenders","St. Paul's Co-ed","","","2026-08-30T16:14:23.675Z"
"FLIS0003","8.2","Japan","16-22","Tokyo","Good","8.8","110","1:6","IB, CIS","9.7","Tokyo's top academic IB.","8.4","9.3","9.1","Subsidised","Google Workspace","IB","110","K. International","8.5","25%","Standard","","Non-Profit","$3,150.00","Anglican Church (HK)","HK EDB","LFI","Non-Profit","Anglican Church (HK)","9.3","2026-05-26T10:41:07.831Z","0","[]","","success","true","{""_seconds"":1788076574,""_nanoseconds"":593000000}","","2026-08-30T07:56:14.591Z","https://www.kist.ed.jp/node/25","Search Associates, Schrole, GaijinPot Jobs, IB World Board","https://www.kist.ed.jp/node/25","K. International","","k-international-school-tokyo-1076077","2026-08-30T16:14:23.675Z"
"FLIS0004","9.6","China","15-18","Shanghai","Good","9.4","400","1:6","IB, WASC","9.5","US curriculum gold std.","9.8","8.8","9.4","Provided","Apple Distinguished","US / IB","400","Shanghai American","9.2","30%","Premium","","Non-Profit","$4,120.00","K. International Foundation","CIS / IB","LFI","Non-Profit","K. International Foundation","8.8","2026-05-26T10:41:07.831Z","0","[]","","success","true","{""_seconds"":1788076648,""_nanoseconds"":377000000}","","2026-08-30T07:57:28.376Z","https://www.saschina.org/about-sas/work-sas","Search Associates, Schrole, ISS (Int'l Schools Services)","https://www.saschina.org/about-sas/work-sas","Shanghai American","1279504","","2026-08-30T16:14:23.675Z"
"FLIS0005","8.4","Hong Kong","25","Hong Kong","Good","8.4","160","1:15","IB","9.4","High-performing tradition.","8.0","9.1","8.9","Subsidised","Hybrid/DSE Focus","HKDSE/IB","160","Diocesan Boys'","7.2","15%","Full Private","","Non-Profit","$3,550.00","Independent Board","WASC","LFI","Non-Profit","Independent Board","9.1","2026-05-26T10:41:07.831Z","0","[]","","success","true","{""_seconds"":1788076684,""_nanoseconds"":809000000}","","2026-08-30T07:58:04.808Z","https://www.dbs.edu.hk/index.php?s=dbs&m=jobopenings","Direct HK Gov Portal, LinkedIn, JobsDB Hong Kong","https://www.dbs.edu.hk/index.php?s=dbs&m=jobopenings","Diocesan Boys'","","","2026-08-30T16:14:23.675Z"
"FLIS0006","9.4","Singapore","20-22","Singapore","Good","9.6","600","1:10","IB, CIS","9.6","Global holistic leader.","9.6","9.6","9.7","Subsidised","High-Tech Hubs","IB / UWC","600","UWC South East Asia","9.7","25%","Premium","","Non-Profit","$4,280.00","Anglican Church (HK)","HK EDB","LFI","Non-Profit","Anglican Church (HK)","9.6","2026-05-26T10:41:07.831Z","0","[]","","success","true","{""_seconds"":1788076649,""_nanoseconds"":551000000}","","2026-08-30T07:57:29.549Z","https://www.uwcsea.edu.sg/uwcsea-careers","Search Associates, Schrole, UWC Movement Portal, LinkedIn","https://www.uwcsea.edu.sg/uwcsea-careers","UWC South East Asia","1061278","uwc-south-east-asia-1057094","2026-08-30T16:14:23.675Z"
"FLIS0007","8.0","Jordan","18-22","Amman","Good","8.1","140","1:11","IB, CIS","8.2","Innovation leader in Jordan.","8.4","7.4","8.6","Provided","Managed Tablet","IB","140","Amman Academy","8.5","20%","Full Private","","Non-Profit","$2,640.00","UWC Foundation","CIS","LFI","Non-Profit","UWC Foundation","7.4","2026-05-26T10:41:07.831Z","0","[]","","success","true","{""_seconds"":1788076653,""_nanoseconds"":492000000}","","2026-08-30T07:57:33.491Z","https://www.nordangliaeducation.com/amman-academy/careers","Nord Anglia Career Portal, Jobkey Jordan","https://www.nordangliaeducation.com/amman-academy/careers","Amman Academy","","","2026-08-30T16:14:23.675Z"
"FLIS0008","8.2","China","20","Shanghai","Good","8.4","250","1:12","IB, NCCT","9.1","Selective academic hub.","8.0","8.8","8.4","Provided","Standard Lab","US / IB","250","Shanghai High Int'l","7.8","18%","Full Private","","For-Profit","$3,450.00","Private / Family","CIS","LFI","For-Profit","Private / Family","8.8","2026-05-26T10:41:07.831Z","0","[]","","success","true","{""_seconds"":1788076648,""_nanoseconds"":942000000}","","2026-08-30T07:57:28.941Z","https://www.shsid.org/ABOUT_US/Career_at_SHSID.htm","Search Associates, eChinaCareers, LinkedIn","https://www.shsid.org/ABOUT_US/Career_at_SHSID.htm","Shanghai High Int'l","","","2026-08-30T16:14:23.675Z"
"FLIS0009","8.5","India","20","Mumbai","Good","8.5","170","1:10","IB, CIS","9.4","India's premier IB hub.","9.0","6.8","9.3","Subsidised","Smart Classroom","IGCSE / IB","170","Dhirubhai Ambani","8.8","22%","Standard","","Non-Profit","$2,660.00","Government (State-owned)","WASC","LFI","Non-Profit","Government (State-owned)","6.8","2026-05-26T10:41:07.831Z","0","[]","","success","true","{""_seconds"":1788077500,""_nanoseconds"":96000000}","","2026-08-30T08:11:39.139Z","https://www.dais.edu.in/careers.html","Naukri.com, LinkedIn, Search Associates","https://www.dais.edu.in/careers.html","Dhirubhai Ambani","","","2026-08-30T16:14:23.675Z"
"FLIS0010","9.2","Singapore","18-22","Singapore","Good","9.5","300","1:10","IB, BSO","9.6","Elite British flagship.","9.5","9.6","9.6","Subsidised","British Tech-Std","British / IB","300","Tanglin Trust","9.4","25%","Full Private","","Non-Profit","$3,995.00","Reliance Industries","CIS / NEASC","LFI","Non-Profit","Reliance Industries","9.6","2026-05-26T10:41:07.831Z","0","[]","","success","true","{""_seconds"":1788076652,""_nanoseconds"":595000000}","","2026-08-30T07:57:32.594Z","https://www.tts.edu.sg/careers","Search Associates, Schrole, LinkedIn, JobStreet Singapore","https://www.tts.edu.sg/careers","Tanglin Trust","1057206","tanglin-trust-school-1057206","2026-08-30T16:14:23.675Z"
