school_id,school_name,city,country,curriculum,savings_potential_single_usd,academic_score,careers_page_url,website_url,group_operator,region
"FLIS0001","German Swiss Int'l","Hong Kong","Hong Kong","German/British","","9.8","https://www.gsis.edu.hk/en/about-us/careers/job-openings","https://www.gsis.edu.hk","",""
"FLIS0002","St. Paul's Co-ed","Hong Kong","Hong Kong","HKDSE/IB","","9.9","https://www.spcc.edu.hk/jobs-and-tenders","https://www.spcc.edu.hk","",""
"FLIS0003","K. International","Tokyo","Japan","IB","","9.7","https://www.kist.ed.jp/careers","https://www.kist.ed.jp","",""
"FLIS0004","Diocesan Boys'","Hong Kong","Hong Kong","HKDSE/IB","","9.4","https://www.dbs.edu.hk/index.php?s=dbs&m=jobopenings","https://www.dbs.edu.hk/index.php?s=dbs&m=jobopenings","",""
"FLIS0005","UWC South East Asia","Singapore","Singapore","IB / UWC","","9.6","https://www.uwcsea.edu.sg/uwcsea-careers","https://www.uwcsea.edu.sg/uwcsea-careers","",""
"FLIS0006","Amman Academy","Amman","Jordan","IB","1400","8.2","https://www.nordangliaeducation.com/amman-academy/careers","https://www.nordangliaeducation.com","",""
"FLIS0007","Shanghai High Int'l","Shanghai","China","US / IB","","9.1","https://www.shsid.org/ABOUT_US/Career_at_SHSID.htm","https://www.shsid.org/ABOUT_US/Career_at_SHSID.htm","",""
"FLIS0008","Dhirubhai Ambani","Mumbai","India","IGCSE / IB","","9.4","https://www.dais.edu.in/careers.html","https://www.dais.edu.in","",""
"FLIS0009","Tanglin Trust","Singapore","Singapore","British / IB","","9.6","https://www.tts.edu.sg/working-with-us/current-vacancies","https://www.tts.edu.sg","",""
"FLIS0010","G.T. (Ellen Yeung)","Hong Kong","Hong Kong","HKDSE/IB","","8.5","https://www.gtcollege.edu.hk/recruitment","https://www.gtcollege.edu.hk","",""
"FLIS0011","GD Country Garden","Foshan","China","IB / CIE","","8.8","https://www.bgy.gd.cn","https://www.bgy.gd.cn","",""
"FLIS0012","St. Stephen's","Hong Kong","Hong Kong","HKDSE/IB","","8.2","https://www.ssc.edu.hk/index.php?option=com_content&view=article&id=82","https://www.ssc.edu.hk/index.php?option=com_content&view=article&id=82","",""
"FLIS0013","ACS International","Singapore","Singapore","IGCSE / IB","","8.9","https://www.acsinternational.edu.sg/careers/","https://www.acsinternational.edu.sg","",""
"FLIS0014","European Azerbaijan","Baku","Azerbaijan","IB","","7.8","https://eas.edu.az/careers/","https://eas.edu.az","",""
"FLIS0015","NPS International","Singapore","Singapore","CBSE / IB","","8.8","https://singapore.nps-international.com","https://singapore.nps-international.com","",""
"FLIS0016","The ISF Academy","Hong Kong","Hong Kong","IB / Bilingual","","9.7","https://academy.isf.edu.hk/en/join-us/careers/","https://academy.isf.edu.hk","",""
"FLIS0017","Dulwich Beijing","Beijing","China","British / IB","","9.5","https://beijing.dulwich.org/careers","https://beijing.dulwich.org","",""
"FLIS0018","Singapore Int'l (HK)","Hong Kong","Hong Kong","SG / IB","","9.4","https://www.singapore.edu.hk/join-us/","https://www.singapore.edu.hk","",""
"FLIS0019","PLK Choi Kai Yau","Hong Kong","Hong Kong","IGCSE / IB","","8.7","http://www.cky.edu.hk","http://www.cky.edu.hk","",""
"FLIS0020","YK Pao School","Shanghai","China","IGCSE / IB","","9.2","https://www.ykpaoschool.cn/join-us","https://www.ykpaoschool.cn","",""
"FLIS0021","Step by Step","Noida","India","CBSE / IB","","8.6","https://stepbystep.ed.in/careers/","https://stepbystep.ed.in","",""
"FLIS0022","Dulwich Pudong","Shanghai","China","British / IB","","9.6","https://shanghai-pudong.dulwich.org/careers","https://shanghai-pudong.dulwich.org","",""
"FLIS0023","SJI International","Singapore","Singapore","IGCSE / IB","","9.1","https://www.sji-international.com.sg/about/careers","https://www.sji-international.com.sg","",""
"FLIS0024","Canadian Int'l (HK)","Hong Kong","Hong Kong","IB / Ontario","","9.0","https://www.cdnis.edu.hk/employment/admin-faculty","https://www.cdnis.edu.hk","",""
"FLIS0025","Qatar Academy","Doha","Qatar","IB","","8.5","https://www.qf.org.qa/careers","https://www.qf.org.qa","",""
"FLIS0026","GEMS World Dubai","Dubai","United Arab Emirates","IB","","9.3","https://www.gemseducation.com/careers","https://www.gemsworldacademy-dubai.com","GEMS Education",""
"FLIS0027","Aldar Academies","Abu Dhabi","United Arab Emirates","British / US / IB","","8.2","https://aldareducation.com/careers/","https://aldareducation.com","",""
"FLIS0028","JESS Dubai","Dubai","United Arab Emirates","British / IB","","9.4","https://www.jess.sch.ae/careers","https://www.jess.sch.ae","Aldar Academies",""
"FLIS0029","Neev Academy","Bengaluru","India","IB","","8.7","https://neevacademy.org/careers/","https://neevacademy.org","",""
"FLIS0030","Bombay Int'l","Mumbai","India","IGCSE / IB","","9.0","https://bis.edu.in/careers/","https://bis.edu.in","",""
"FLIS0031","Hwa Chong Int'l","Singapore","Singapore","IGCSE / IB","","9.5","https://www.hcis.edu.sg/careers/","https://www.hcis.edu.sg","",""
"FLIS0032","IS Nanshan","Shenzhen","China","IB","","8.8","https://www.isnsz.com/careers","https://www.isnsz.com","",""
"FLIS0033","Wellington Shanghai","Shanghai","China","British / IB","","9.4","https://shanghai.wellingtoncollege.cn/join-us","https://shanghai.wellingtoncollege.cn","",""
"FLIS0034","Leman Chengdu","Chengdu","China","IB / US","1800","8.4","https://www.nordangliaeducation.com/lis-chengdu/careers","https://www.nordangliaeducation.com","Nord Anglia Education",""
