school_id,school_name,city,country,curriculum,savings_potential_single_usd,academic_score,careers_page_url,website_url,group_operator,region
"FLIS0001","German Swiss Int'l","Hong Kong","Hong Kong","German/British","","9.8","https://www.gsis.edu.hk/en/about-us/careers/job-openings","https://www.gsis.edu.hk/en/about-us/careers/job-openings","",""
"FLIS0002","St. Paul's Co-ed","Hong Kong","Hong Kong","HKDSE/IB","","9.9","https://www.spcc.edu.hk/jobs-and-tenders","https://www.spcc.edu.hk/jobs-and-tenders","",""
"FLIS0003","K. International","Tokyo","Japan","IB","","9.7","https://www.kist.ed.jp/node/25","https://www.kist.ed.jp/node/25","",""
"FLIS0004","Shanghai American","Shanghai","China","US / IB","","9.5","https://www.saschina.org/about-sas/work-sas","https://www.saschina.org/about-sas/work-sas","",""
"FLIS0005","Diocesan Boys'","Hong Kong","Hong Kong","HKDSE/IB","","9.4","https://www.dbs.edu.hk/index.php?s=dbs&m=jobopenings","https://www.dbs.edu.hk/index.php?s=dbs&m=jobopenings","",""
"FLIS0006","UWC South East Asia","Singapore","Singapore","IB / UWC","","9.6","https://www.uwcsea.edu.sg/uwcsea-careers","https://www.uwcsea.edu.sg/uwcsea-careers","",""
"FLIS0007","Amman Academy","Amman","Jordan","IB","1400","8.2","https://www.nordangliaeducation.com/amman-academy/careers","https://www.nordangliaeducation.com/amman-academy/careers","",""
"FLIS0008","Shanghai High Int'l","Shanghai","China","US / IB","","9.1","https://www.shsid.org/ABOUT_US/Career_at_SHSID.htm","https://www.shsid.org/ABOUT_US/Career_at_SHSID.htm","",""
"FLIS0009","Dhirubhai Ambani","Mumbai","India","IGCSE / IB","","9.4","https://www.dais.edu.in/careers.html","https://www.dais.edu.in/careers.html","",""
"FLIS0010","Tanglin Trust","Singapore","Singapore","British / IB","","9.6","https://www.tts.edu.sg/careers","https://www.tts.edu.sg/careers","",""
"FLIS0011","G.T. (Ellen Yeung)","Hong Kong","Hong Kong","HKDSE/IB","","8.5","https://www.gtcollege.edu.hk/recruitment","https://www.gtcollege.edu.hk/recruitment","",""
"FLIS0012","GD Country Garden","Foshan","China","IB / CIE","","8.8","https://www.bgy.gd.cn/job/","https://www.bgy.gd.cn/job/","",""
"FLIS0013","St. Stephen's","Hong Kong","Hong Kong","HKDSE/IB","","8.2","https://www.ssc.edu.hk/index.php?option=com_content&view=article&id=82","https://www.ssc.edu.hk/index.php?option=com_content&view=article&id=82","",""
"FLIS0014","ACS International","Singapore","Singapore","IGCSE / IB","","8.9","https://www.acsinternational.edu.sg/careers/","https://www.acsinternational.edu.sg/careers/","",""
