schoolId,schoolname,country,city,careersPageUrl,tesEmployerSlug,tesOrganizationId
FLIS0204,St. Gilgen International School,Austria,St. Gilgen,,st-gilgen-international-school-1057170,1057170
FLIS0205,International Christian School of Vienna,Austria,Vienna,https://www.icsv.at/vacancies,,
FLIS0206,International School Carinthia,Austria,Velden,https://isc.ac.at/we-are-isc/career/,,
FLIS0207,International School Innsbruck,Austria,Innsbruck,,,
FLIS0208,Lower Austrian International School,Austria,St. Pölten,,,
FLIS0209,Linz International School Auhof (LISA),Austria,Linz,https://lisa.europagym.at/careers-lisa/,,
FLIS0210,SALIS - Salzburg International School,Austria,Salzburg,,,
FLIS0211,The American International School Vienna,Austria,Vienna,https://www.ais.at/employment/faculty-openings,,
FLIS0212,Schloss Krumbach International School,Austria,Krumbach,https://join.com/companies/krumbach,,
FLIS0213,Vienna International School,Austria,Vienna,https://www.vis.ac.at/work-at-vis/current-vacancies,vienna-international-school-1270224,1270224
FLIS0214,Arabian Pearl Gulf School,Bahrain,Manama,,,
FLIS0215,American School of Bahrain,Bahrain,Manama,,,
FLIS0216,Bahrain Bayan School,Bahrain,Juffair,https://www.bayanschool.edu.bh/page/view/92,bahrain-bayan-school-1075886,1075886
FLIS0217,Riffa Views International School,Bahrain,Riffa,https://www.rvis.edu.bh/careers,riffa-views-international-school-1075656,1075656
FLIS0218,Naseem International School,Bahrain,Riffa,,,
FLIS0219,Britus International School,Bahrain,Salmabad,,,
FLIS0220,Multinational School Bahrain,Bahrain,Manama,https://mns-bahrain.com/career.php,multinational-school-bahrain-1178513,1178513
FLIS0221,Nadeen School,Bahrain,Manama,https://nadeenschool.com/join-our-family/#join_team,nadeen-school-1062752,1062752
FLIS0222,New Generation Private School,Bahrain,Juffair,,,
FLIS0223,Shaikha Hessa Girls' School,Bahrain,Riffa,,,
FLIS0224_primary,St Christopher's School Primary,Bahrain,Isa Town,https://st-chris.schoolrecruiter.com/,st-christopher-s-school-primary-1170107,1170107
FLIS0224_senior,St Christopher's School Senior,Bahrain,Isa Town,https://st-chris.schoolrecruiter.com/,st-christopher-s-school-senior-1057682,1057682
FLIS0225,Antwerp International School,Belgium,Ekeren,,,
FLIS0226,BEPS International School,Belgium,Brussels,,,
FLIS0227,Bogaerts International School,Belgium,Brussels,,,
FLIS0228,British International School of Brussels,Belgium,Brussels,,,
FLIS0229,British Junior Academy of Brussels,Belgium,Brussels,https://www.bjab.org/our-community/work-with-us#vacancies,british-junior-academy-of-brussels-1057697,1057697
FLIS0230,European School of Bruxelles-Argenteuil,Belgium,Waterloo,,,
FLIS0231,International Montessori School,Belgium,Tervuren,,,
FLIS0232,International School Ghent vzw,Belgium,Ghent,,,
FLIS0233,International School of Belgium,Belgium,Antwerp,,international-school-of-belgium-1074131,1074131
FLIS0234,International School of Flanders Waterloo,Belgium,Waterloo,https://www.isfwaterloo.org/302/job-opportunities,,
FLIS0235,International School of Flanders RHSG,Belgium,Rhode-Saint-Genèse,,,
FLIS0236,Montgomery International School,Belgium,Brussels,https://www.mischool.be/nav-footer-links/career,,
FLIS0237,Azerbaijan British College,Azerbaijan,Baku,,azerbaijan-british-college-1064480,1064480
FLIS0238,Baku International School,Azerbaijan,Baku,https://www.qsi.org/careers,,
FLIS0239,Baku Oxford School,Azerbaijan,Baku,https://www.bakuoxfordschool.com/employment,baku-oxford-school-1076164,1076164
FLIS0240,Khazar University Dunya IB School,Azerbaijan,Baku,,,
FLIS0241,Modern Educational Complex Named in Honor of Heydar Aliyev,Azerbaijan,Baku,https://mtk.edu.az/az/vacancies,,
FLIS0242,The International School of Azerbaijan,Azerbaijan,Baku,https://www.tisa.az/about-us/working-at-tisa/,,
