schoolId,schoolname,country,city,careersPageUrl,tesEmployerSlug,tesOrganizationId
FLIS0001,German Swiss Int'l,Hong Kong,Hong Kong,https://www.gsis.edu.hk/en/about-us/careers/job-openings,german-swiss-international-school-1057613,1057613
FLIS0002,St. Paul's Co-ed,Hong Kong,Hong Kong,https://www.spcc.edu.hk/jobs-and-tenders,,
FLIS0003,K. International,Japan,Tokyo,https://www.kist.ed.jp/node/25,k-international-school-tokyo-1076077,1076077
FLIS0004,Shanghai American,China,Shanghai,https://www.saschina.org/about-sas/work-sas,,1279504
FLIS0005,Diocesan Boys',Hong Kong,Hong Kong,https://www.dbs.edu.hk/index.php?s=dbs&m=jobopenings,,
FLIS0006,UWC South East Asia,Singapore,Singapore,https://www.uwcsea.edu.sg/uwcsea-careers,uwc-south-east-asia-1057094,1061278
FLIS0007,Amman Academy,Jordan,Amman,https://www.nordangliaeducation.com/amman-academy/careers,,
FLIS0008,Shanghai High Int'l,China,Shanghai,https://www.shsid.org/ABOUT_US/Career_at_SHSID.htm,,
FLIS0009,Dhirubhai Ambani,India,Mumbai,https://www.dais.edu.in/careers.html,,
FLIS0010,Tanglin Trust,Singapore,Singapore,https://www.tts.edu.sg/careers,tanglin-trust-school-1057206,1057206
FLIS0011,G.T. (Ellen Yeung),Hong Kong,Hong Kong,https://www.gtcollege.edu.hk/recruitment,,
FLIS0012,GD Country Garden,China,Foshan,https://www.bgy.gd.cn/job/,guangdong-country-garden-school--gcgs--1058223,1058223
FLIS0013,St. Stephen's,Hong Kong,Hong Kong,https://www.ssc.edu.hk/index.php?option=com_content&view=article&id=82,,
FLIS0014,ACS International,Singapore,Singapore,https://www.acsinternational.edu.sg/careers/,acs-international-singapore-1074273,1074273
FLIS0015,European Azerbaijan,Azerbaijan,Baku,https://eas.edu.az/careers/,the-european-azerbaijan-school-1066426,1066426
FLIS0016,NPS International,Singapore,Singapore,https://www.npsinternational.edu.sg/careers,,
FLIS0017,The ISF Academy,Hong Kong,Hong Kong,https://academy.isf.edu.hk/careers/,the-independent-schools-foundation-academy-isf-1273163,1273163
FLIS0018,Dulwich Beijing,China,Beijing,https://beijing.dulwich.org/careers,dulwich-college-beijing-1057433,1057433
FLIS0019,Singapore Int'l (HK),Hong Kong,Hong Kong,https://www.singapore.edu.hk/careers/,singapore-international-school-1262787,1262787
FLIS0020,PLK Choi Kai Yau,Hong Kong,Hong Kong,http://www.cky.edu.hk/recruitment/,,
FLIS0021,YK Pao School,China,Shanghai,https://www.ykpaoschool.cn/careers,yk-pao-school-1057565,1057565
FLIS0022,Step by Step,India,Noida,https://stepbystep.ed.in/careers/,,
FLIS0023,Dulwich Pudong,China,Shanghai,https://shanghai-pudong.dulwich.org/careers,dulwich-college-shanghai-pudong-dcs-1057370,1057370
FLIS0024,SJI International,Singapore,Singapore,https://www.sji-international.com.sg/about/careers,sji-international-school-1055929,1055929
FLIS0025,Canadian Int'l (HK),Hong Kong,Hong Kong,https://www.cdnis.edu.hk/careers,canadian-international-school-of-hong-kong-1071231,1071231
FLIS0026,Qatar Academy,Qatar,Doha,https://www.qf.org.qa/careers,qatar-foundation-1071381,1071381
FLIS0027,GEMS World Dubai,UAE,Dubai,https://www.gemsworldacademy-dubai.com/en/Careers,gems-world-academy-dubai-1060996,1060996
FLIS0028,Aldar Academies,UAE,Abu Dhabi,https://aldareducation.com/careers/,aldar-education-1220983,1220983
FLIS0029,JESS Dubai,UAE,Dubai,https://www.jess.sch.ae/careers,jumeirah-english-speaking-school-jess-1055094,1055094
FLIS0030,Neev Academy,India,Bengaluru,https://neevacademy.org/careers/,,
FLIS0031,Bombay Int'l,India,Mumbai,https://bis.edu.in/careers/,,
FLIS0032,Hwa Chong Int'l,Singapore,Singapore,https://www.hcis.edu.sg/careers/,,
FLIS0033,IS Nanshan,China,Shenzhen,https://www.isnsz.com/careers,,
FLIS0034,Wellington Shanghai,China,Shanghai,https://shanghai.wellingtoncollege.cn/careers,wellington-college-international-shanghai-1067101,1067101
FLIS0035,Leman Chengdu,China,Chengdu,https://www.nordangliaeducation.com/lis-chengdu/careers,leman-international-school-chengdu-1071034,1071034
FLIS0036,GIIS SMART,Singapore,Singapore,https://singapore.globalindianschool.org/careers,,
FLIS0037,New PORG Prague,Czechia,Prague,https://www.porg.cz/en/careers,porg-prague-1057493,1057493
FLIS0038,Ecole Jeannine Manuel,France,Paris,https://www.ecolejeanninemanuel.org/en/careers,ecole-jeannine-manuel-paris-1057899,1057899
FLIS0039,St Catherine's,Greece,Athens,https://www.stcatherines.gr/careers/,st-catherine-s-british-school-1065747,1065747
FLIS0040,British Milan,Italy,Milan,https://www.britishschoolmilan.com/careers,the-british-school-of-milan-1057215,1057215
FLIS0041,IS Monaco,Monaco,Monaco,https://www.ismonaco.org/careers,international-school-of-monaco-1057564,1057564
FLIS0042,St Louis Milan,Italy,Milan,https://www.stlouisschool.com/careers,st-louis-school-caviglia-1058481,1058481
FLIS0043,Heritage Gurugram,India,Gurugram,https://www.heritagexperiential.org/careers/,,
FLIS0044,Cheltenham Muscat,Oman,Muscat,https://cheltenhammuscat.om/careers/,cheltenham-muscat-1224896,1224896
FLIS0045,TISB Bangalore,India,Bengaluru,https://www.tisb.org/careers,,
FLIS0046,Calcutta Int'l,India,Kolkata,https://www.calcat.in/careers/,,
FLIS0047,British Manila,Philippines,Manila,https://www.britishschoolmanila.org/careers,the-british-school-manila-1057671,1057671
FLIS0048,SSIS Shanghai,China,Shanghai,https://www.ssis.asia/careers/,,
FLIS0049,Dulwich Singapore,Singapore,Singapore,https://singapore.dulwich.org/careers,dulwich-college-singapore-1062744,1062744
FLIS0050,Dulwich Suzhou,China,Suzhou,https://suzhou.dulwich.org/careers,,
FLIS0051,Aiglon College,Switzerland,Villars,https://www.aiglon.ch/careers,aiglon-college-1057219,1057219
FLIS0052,ACS Athens,Greece,Athens,https://www.acs.gr/careers,,
FLIS0053,IS Prague,Czechia,Prague,https://www.isp.cz/careers,,
FLIS0054,Frankfurt Int'l,Germany,Frankfurt,https://www.fis.edu/careers,frankfurt-international-school-1277429,1277429
FLIS0055,King's Alicante,Spain,Alicante,https://alicante.kingscollegeschool.es/careers/,king-s-college-school-alicante-1055666,1055666
FLIS0056,St George's Rome,Italy,Rome,https://www.stgeorge.it/careers,st-george-s-british-international-school-rome-1058020,1058020
FLIS0057,Oak House BCN,Spain,Barcelona,https://www.oakhouseschool.com/careers,oak-house-school-1057767,1057767
FLIS0058,IS Lausanne,Switzerland,Lausanne,https://www.isl.ch/careers,,
FLIS0059,St John's Waterloo,Belgium,Waterloo,https://www.stjohns.be/careers,st-john-s-international-school-1057076,1057076
FLIS0060,Beau Soleil,Switzerland,Villars,https://www.nordangliaeducation.com/beau-soleil/careers,coll-ge-alpin-beau-soleil-sa-1057796,1057796
FLIS0061,English College Prague,Czechia,Prague,https://www.englishcollege.cz/careers/,english-college-in-prague-1058144,1058144
FLIS0062,American Milan,Italy,Milan,https://www.asmilan.org/careers,,
FLIS0063,St George's Montreux,Switzerland,Montreux,https://www.stgeorges.ch/careers,st-george-s-international-school-1057262,1057262
FLIS0064,PaRK Lisbon,Portugal,Lisbon,https://www.park-is.com/careers/,park-international-school-alfragide-1179041,1179041
FLIS0065,Zurich Int'l,Switzerland,Zurich,https://www.zis.ch/careers,,
FLIS0066,British Brussels,Belgium,Brussels,https://www.britishschool.be/careers,the-british-school-of-brussels-1057727,1057727
FLIS0067,St Peter's BCN,Spain,Barcelona,https://stpeters.es/careers/,st-peter-s-school-barcelona-1056328,1056328
FLIS0068,Int'l College Spain,Spain,Madrid,https://www.nordangliaeducation.com/ics-madrid/careers,international-college-spain-1058692,1058692
FLIS0069,Aloha College,Spain,Marbella,https://aloha-college.com/careers/,aloha-college-1057357,1057357
FLIS0070,Munich International,Germany,Munich,https://www.mis-munich.de/careers,,
FLIS0071,Benjamin Franklin,Spain,Barcelona,https://www.bfischool.org/about-us/careers,benjamin-franklin-international-school-1062233,1062233
FLIS0072,Leysin American,Switz,Leysin,https://www.las.ch/about/careers,,
FLIS0073,Bonn International,Germany,Bonn,https://www.bonn-is.de/work/teaching-positions,,
FLIS0074,IS Amsterdam,Netherlands,Amsterdam,https://www.isa.nl/careers,,
FLIS0075,American School BCN,Spain,Barcelona,https://www.asbarcelona.com/careers,,
FLIS0076,Haut-Lac Int'l,Switz,St-Légier,https://www.haut-lac.ch/en/careers/,haut-lac-international-bilingual-school-1079043,1079043
FLIS0077,American Vienna,Austria,Vienna,https://www.ais.at/employment,,
FLIS0078,College du Leman,Switz,Geneva,https://www.nordangliaeducation.com/cdl-geneva/careers,nord-anglia-education-1065805,1065805
FLIS0079,IS Brussels,Belgium,Brussels,https://www.isb.be/careers,international-school-of-brussels-1055958,1055958
FLIS0080,Riverside Prague,Czechia,Prague,https://www.riversideschool.cz/contact/vacancies/,riverside-international-school-1175419,1175419
FLIS0081,IS Hellerup,Denmark,Copenhagen,https://ish.dk/vacancies/,,
FLIS0082,St George's Cologne,Germany,Cologne,https://www.stgeorgesschool.com/careers,st-george-s-the-british-international-school-cologne-1058656,1058656
FLIS0083,IS Düsseldorf,Germany,Düsseldorf,https://www.isdedu.de/careers,international-school-of-d-sseldorf-e-v-1056279,1056279
FLIS0084,IS Zug & Luzern,Switz,Zug,https://www.iszl.ch/careers,,
FLIS0085,Metropolitan Frankfurt,Germany,Frankfurt,https://m-s-f.de/careers/,,
